label,method,round,aggregation_error
spreadA,rblora,1,1.7163998150618045
spreadA,flora,1,0.15228559262825875
spreadA,rblora,2,2.0710332069469124
spreadA,flora,2,0.15009685546521143
spreadA,rblora,3,2.0968404688729794
spreadA,flora,3,0.14693616782309024
spreadA,rblora,4,2.1082184719758543
spreadA,flora,4,0.1449103707147064
spreadA,rblora,5,2.1141488313366352
spreadA,flora,5,0.14365224473899654
spreadA,rblora,6,2.117257857353603
spreadA,flora,6,0.14262043017806744
spreadA,rblora,7,2.121946325130995
spreadA,flora,7,0.14201560559726994
spreadA,rblora,8,2.12585619779014
spreadA,flora,8,0.141552656486799
spreadA,rblora,9,2.124578521612692
spreadA,flora,9,0.1409812840786514
spreadA,rblora,10,2.1257171941370276
spreadA,flora,10,0.14057349682285
spreadA,rblora,11,2.1272359887391574
spreadA,flora,11,0.14031546950452506
spreadA,rblora,12,2.1279862403615373
spreadA,flora,12,0.14000444818940486
spreadA,rblora,13,2.128961982603298
spreadA,flora,13,0.13978489711821232
spreadA,rblora,14,2.1287802235969857
spreadA,flora,14,0.1395547179925528
spreadA,rblora,15,2.1289048016969594
spreadA,flora,15,0.13938975208258556
spreadA,rblora,16,2.1288568448405827
spreadA,flora,16,0.13917284405788152
spreadA,rblora,17,2.1276591728525136
spreadA,flora,17,0.13900328586200025
spreadA,rblora,18,2.1266173279619425
spreadA,flora,18,0.13883140555507487
spreadA,rblora,19,2.12683619697775
spreadA,flora,19,0.1387174521846963
spreadA,rblora,20,2.126486573943272
spreadA,flora,20,0.13860246992418448
spreadA,rblora,21,2.125929304010095
spreadA,flora,21,0.13844867634621483
spreadA,rblora,22,2.12647788755076
spreadA,flora,22,0.13836558841140423
spreadA,rblora,23,2.1266629120712395
spreadA,flora,23,0.1383333026335695
spreadA,rblora,24,2.127011119189438
spreadA,flora,24,0.13826994491169686
spreadA,rblora,25,2.1267254444310395
spreadA,flora,25,0.13816800276258698
spreadA,rblora,26,2.1272727151781123
spreadA,flora,26,0.13811887179531068
spreadA,rblora,27,2.1281212445882307
spreadA,flora,27,0.1380921561556093
spreadA,rblora,28,2.12791141669633
spreadA,flora,28,0.13802558955199773
spreadA,rblora,29,2.1271251148190107
spreadA,flora,29,0.13795375982231944
spreadA,rblora,30,2.1265799806856447
spreadA,flora,30,0.13786008654262738
spreadA,rblora,31,2.1269662397655984
